# Event timescale distribution (efficiency-corrected) in the Galactic bulge 
#
# Mroz et al. 2017, Nature, 548, 183
# https://ui.adsabs.harvard.edu/abs/2017Natur.548..183M/abstract
# (figure 2)
#
# all bins are 0.14 dex wide; first column gives center of the bin
#
# log10(tE) counts counts_error
-0.93  299.40 299.40
-0.79  245.60 173.85
-0.65  358.50 268.37
-0.51  116.96 116.96
-0.37    0.00   0.00
-0.23   47.78  47.78
-0.09   85.10  61.52
 0.05   90.50  52.72
 0.19  315.37  81.92
 0.33  501.77  97.36
 0.47  898.26 119.83
 0.61 1559.68 148.33
 0.75 2381.46 177.66
 0.89 2849.11 183.08
 1.03 3405.00 193.83
 1.17 3431.30 188.79
 1.31 3611.76 191.62
 1.45 3038.06 168.43
 1.59 2170.67 140.22
 1.73 1680.38 120.74
 1.87  814.70  83.29
 2.01  444.06  62.62
 2.15  254.89  48.42
 2.29  114.19  34.58
 2.43   52.14  30.14
